Water Company Name,"Site Name
(EA Consents Database)","Site Name
(WaSC operational)
[optional]","EA Permit Reference
(EA Consents Database)","WaSC Supplementary Permit Ref.
[optional]",Activity Reference on Permit,Storm Discharge Asset Type,"Outlet Discharge NGR
(EA Consents Database)","WFD Waterbody ID (Cycle 2)
(discharge outlet)","WFD Waterbody Catchment Name (Cycle 2)
(discharge outlet)","Receiving Water / Environment (common name)
(EA Consents Database)",Shellfish Water (only populate for storm overflow with a Shellfish Water EDM requirement),Bathing Water (only populate for storm overflow with a Bathing Water EDM requirement),"Treatment Method
(over & above Storm Tank settlement / screening)",Initial EDM Commission Date,Total Duration (hrs) all spills prior to processing through 12-24h count method,Counted spills using 12-24h count method,Long-term average spill count,"No. full years EDM data
(years)","EDM Operation -
% of reporting period EDM operational","EDM Operation -
Reporting % -
Primary Reason <90%","EDM Operation -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Operational Review -
Primary Reason","High Spill Frequency -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Environmental Enhancement -
Planning Position (Hydraulic capacity)",Unique ID,Grid reference,Latitude,Longitude
Northumbrian Water,HAUGH LANE CSO,HAUGH LANE CSO,233/1224,6NW800254,,SO on sewer network,NZ1711464192,8,Culverted watercourse to River Tyne,TRIB RIVER TYNE,,,Not Applicable,Commissioned in 2021 - full year data expected,7.37,3,6.76,2 (installed 2021),40.65,Comms failure / issue,Resolved - Nov,,,,6NW800254,NZ1711464192,54.972055,-1.7341873
Northumbrian Water,PALM TERRACE CSO,PALM TERRACE CSO,235/1717,6NW800255,,SO on sewer network,NZ1851054810,GB103023075670,Team from Source to Tyne,FARLIETH BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,539.50,49,18.33,10+ (installed pre-2013),90.06,,,,,,6NW800255,NZ1851054810,54.887697,-1.7129805
Northumbrian Water,BLAYDON BURN WAGONWAY CSO,BLAYDON BURN WAGONWAY CSO,233/1228,6NW800256,,SO on sewer network,NZ1809563602,GB103023074791,Blaydon Burn,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned in 2019 - full year data expected,4.13,8,3.40,5 (installed 2018),99.00,,,,,,6NW800256,NZ1809563602,54.966718,-1.7188999
Northumbrian Water,COCHRANE STREET CSO,COCHRANE STREET CSO,233/1020,6NW800257,,SO on sewer network,NZ1822463606,GB510302310200,TYNE,TYNE,,,Not Applicable,Commissioned in 2018 - full year data expected,0.00,0,0.00,6 (installed 2017),100.00,,,,,,6NW800257,NZ1822463606,54.96675,-1.7168848
Northumbrian Water,GAS LANE CSO,GAS LANE CSO,235/1740,6NW800259,,SO on sewer network,NZ1842063569,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned in 2020 - full year data expected,0.57,2,0.52,3 (installed 2020),82.95,Sensor failure / issue,Resolved - Sep,,,,6NW800259,NZ1842063569,54.96641,-1.7138258
Northumbrian Water,FACTORY ROAD CSO,FACTORY ROAD CSO,233/0911,6NW800260,,SO on sewer network,NZ1883063669,GB510302310200,TYNE,TYNE (TIDAL),,,Not Applicable,Commissioned in 2018 - full year data expected,217.23,31,18.02,5 (installed 2018),100.00,,,,,,6NW800260,NZ1883063669,54.967293,-1.7074155
Northumbrian Water,CSO WV79 ROUGH LEA LANE,CSO WV79 ROUGH LEA LANE,243/0909,6NW800261,,SO on sewer network,NZ1936133626,GB103024077464,Wear from Gaunless to Browney,UNNAMED BECK TRIB RVR WEAR,,,Not Applicable,Commissioned in 2016 - full year data expected,16.50,18,12.50,7 (installed 2016),99.99,,,,,,6NW800261,NZ1936133626,54.697298,-1.7011209
Northumbrian Water,SOUTH MOOR ROAD FOOTBALL CLUB CSO,SOUTH MOOR ROAD FOOTBALL CLUB CSO,245/1262,6NW800262,,SO on sewer network,NZ1909451305,GB103024077590,Twizell Burn from Source to Cong Burn,STANLEY BURN,,,Not Applicable,Commissioned in 2016 - full year data expected,0.50,1,0.51,7 (installed 2016),99.86,,,,,,6NW800262,NZ1909451305,54.856178,-1.7041074
Northumbrian Water,TANFIELD COMPREHENSIVE SCHOOL CSO,TANFIELD COMPREHENSIVE SCHOOL CSO,235/1716,6NW800263,,SO on sewer network,NZ1918053780,GB103023075670,Team from Source to Tyne,KYO BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,16.75,15,8.88,10+ (installed pre-2013),99.63,,,,,,6NW800263,NZ1918053780,54.878416,-1.7026043
Northumbrian Water,STATION VILLAS CSO,STATION VILLAS CSO,235/1709,6NW800264,,SO on sewer network,NZ1968054170,GB103023075670,Team from Source to Tyne,HOUGHWELL BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,1.55,10+ (installed pre-2013),99.98,,,,,,6NW800264,NZ1968054170,54.881901,-1.6947854
Northumbrian Water,ST ANDREWS ROAD CSO,ST ANDREWS ROAD CSO,235/1715,6NW800265,,SO on sewer network,NZ1967654170,GB103023075670,Team from Source to Tyne,UNNAMED TRIB HOUGHWELL BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,525.25,64,54.37,10+ (installed pre-2013),72.94,Sensor failure / issue,Resolved - Nov,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_INV driver - Stage 4: No cost beneficial solution,6NW800265,NZ1967654170,54.881902,-1.6948477
Northumbrian Water,DENTON ROAD CSO NC027,DENTON ROAD CSO NC027,235/1937,6NW800266,,SO on sewer network,NZ1965463974,GB510302310200,TYNE,RIVER TYNE,,,Not Applicable,Commissioned in 2018 - full year data expected,454.01,108,98.19,6 (installed 2017),100.00,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",6NW800266,NZ1965463974,54.970003,-1.6945244
Northumbrian Water,MARKET LANE CSO,MARKET LANE CSO,234/0934,6NW800267,,SO on sewer network,NZ2042062947,8,River Derwent,RIVER DERWENT,,,Not Applicable,Commissioned in 2019 - full year data expected,776.50,87,73.71,4 (installed 2019),100.00,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",6NW800267,NZ2042062947,54.960743,-1.6826319
Northumbrian Water,SCOTSWOOD BRIDGE CSO,SCOTSWOOD BRIDGE CSO,235/1669,6NW800268,,SO on sewer network,NZ2000963684,GB510302310200,TYNE,TYNE SALINE ESTUARY,,,Not Applicable,Commissioned in 2017 - full year data expected,0.30,1,2.63,6 (installed 2017),92.92,,,,,,6NW800268,NZ2000963684,54.967383,-1.6889993
Northumbrian Water,EASTERN AVENUE CSO,EASTERN AVENUE CSO,235/F/0651,6NW800269,,SO on sewer network,NZ2464059880,GB103023075670,Team from Source to Tyne,TEAM,,,Not Applicable,Commissioned pre-2016 - full year data expected,145.22,55,35.92,9 (installed 2014),99.71,,,Data collection - Confirmed exceptional weather – Remaining spills not above SOAF threshold,,"Stage 1a: Confirmed ""exceptional weather"" issue",6NW800269,NZ2464059880,54.932993,-1.6169916
Northumbrian Water,RIVERSIDEWAY CSO,RIVERSIDEWAY CSO,EPRCB3191VZ,6NW800270,,SO on sewer network,NZ2047663110,8,River Derwent,RIVER DERWENT,,,Not Applicable,Commissioned in 2019 - full year data expected,597.94,59,34.40,5 (installed 2018),100.00,,,Data collection - Confirmed exceptional weather – Remaining spills not above SOAF threshold,,"Stage 1a: Confirmed ""exceptional weather"" issue",6NW800270,NZ2047663110,54.962206,-1.6817458
Northumbrian Water,SILVER LONNEN CSO (NC030),SILVER LONNEN CSO (NC030),235/1938,6NW800271,,SO on sewer network,NZ1965463974,GB510302310200,TYNE,RIVER TYNE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,329.13,93,72.91,10+ (installed pre-2013),99.99,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_INV driver - Stage 4: No cost beneficial solution,6NW800271,NZ1965463974,54.970003,-1.6945244
Northumbrian Water,THE KYLINS COMBINED SEWER OVERFLOW,THE KYLINS COMBINED SEWER OVERFLOW,225/1065,6NW800272,,SO on sewer network,NZ2002084980,GB103022077061,Wansbeck from Font to Bothal Burn,CHURCH BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.09,10+ (installed pre-2013),99.99,,,,,,6NW800272,NZ2002084980,55.158746,-1.6873407
Northumbrian Water,BENNETTS WALK CSO,BENNETTS WALK CSO,EPRDP3923XT,6NW800274,,Storm discharge at pumping station,NZ2023085839,GB103022077061,Wansbeck from Font to Bothal Burn,RIVER WANSBECK,,,Not Applicable,Commissioned in 2020 - full year data expected,16.76,22,13.24,4 (installed 2019),99.97,,,,,,6NW800274,NZ2023085839,55.166457,-1.683984
Northumbrian Water,VINOVIUM CSO NO A22,VINOVIUM CSO NO A22,242/C/0380,6NW800275,,SO on sewer network,NZ2182128532,GB103024072730,Gaunless from Hummer Beck to Wear,RIVER GAUNLESS,,,Not Applicable,Commissioned in 2017 - full year data expected,0.50,1,1.72,6 (installed 2017),99.99,,,,,,6NW800275,NZ2182128532,54.651421,-1.6633317
Northumbrian Water,BINCHESTER PLANTATION CSO,BINCHESTER PLANTATION CSO,243/0967,6NW800276,,SO on sewer network,NZ2106631023,GB103024077464,Wear from Gaunless to Browney,RIVER WEAR,,,Not Applicable,Commissioned in 2017 - full year data expected,0.00,0,0.00,6 (installed 2017),99.88,,,,,,6NW800276,NZ2106631023,54.673838,-1.6748541
Northumbrian Water,FRONT STREET CSO,FRONT STREET CSO,244/0926,6NW800277,,SO on sewer network,NZ2144445214,GB103024077551,Browney from Smallhope Burn Deerness confl Water Body,RIVER BROWNEY,,,Not Applicable,Commissioned in 2017 - full year data expected,0.00,0,0.00,6 (installed 2017),99.99,,,,,,6NW800277,NZ2144445214,54.801349,-1.6679522
Northumbrian Water,FRONT STREET CSO,FRONT STREET CSO,EPRJB3292WB,6NW800278,,SO on sewer network,NZ2150845221,GB103024077551,Browney from Smallhope Burn Deerness confl Water Body,RIVER BROWNEY,,,Not Applicable,Commissioned in 2017 - full year data expected,403.25,85,75.24,6 (installed 2017),99.94,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_INV driver - Stage 4: No cost beneficial solution,6NW800278,NZ2150845221,54.801409,-1.6669561
Northumbrian Water,METROCENTRE GREEN CAR PARK PS (E7),METROCENTRE GREEN CAR PARK PS (E7),235/2002,6NW800279,,SO on sewer network,NZ2225062910,GB510302310200,TYNE,TYNE (SLAINE ESTUARY),,,Not Applicable,Commissioned in 2020 - full year data expected,619.33,144,121.67,4 (installed 2019),98.98,,,Performance - Infiltration,N/A - Ongoing investigation,,6NW800279,NZ2225062910,54.960333,-1.6540562
Northumbrian Water,WELLINGTON ROAD CSO (E9-102),WELLINGTON ROAD CSO (E9-102),Permit Anomaly,6NW800280,To be permitted for storm,SO on sewer network,NZ2224662911,8,River Tyne,River Tyne,,,Not Applicable,Commissioned in 2021 - full year data expected,551.70,57,52.65,3 (installed 2020),100.00,,,Performance - Infiltration,N/A - Ongoing investigation,,6NW800280,NZ2224662911,54.960342,-1.6541186
Northumbrian Water,MICHEL BEARINGS NORTH CSO,MICHEL BEARINGS NORTH CSO,235/1671,6NW800282,,SO on sewer network,NZ2123963426,GB510302310200,TYNE,RIVER TYNE,,,Not Applicable,Commissioned in 2017 - full year data expected,0.00,0,0.00,6 (installed 2017),100.00,,,,,,6NW800282,NZ2123963426,54.965014,-1.6698066
Northumbrian Water,SOUTH BENWELL ROAD CSO,SOUTH BENWELL ROAD CSO,235/1958,6NW800283,,SO on sewer network,NZ2138063404,GB510302310200,TYNE,RIVER TYNE,,,Not Applicable,Commissioned in 2018 - full year data expected,83.87,42,32.17,6 (installed 2017),99.99,,,,,,6NW800283,NZ2138063404,54.96481,-1.667606
Northumbrian Water,ATKINSON ROAD CSO,ATKINSON ROAD CSO,235/1315,6NW800284,,SO on sewer network,NZ2160863384,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned in 2018 - full year data expected,28.96,37,39.68,6 (installed 2017),99.99,,,,,,6NW800284,NZ2160863384,54.96462,-1.6640465
Northumbrian Water,PARK HEAD STORAGE TANK CSO,PARK HEAD STORAGE TANK CSO,242/1044,6NW800286,,SO on sewer network,NZ2300030510,GB103024072730,Gaunless from Hummer Beck to Wear,COUNDON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,1002.75,70,26.02,10+ (installed pre-2013),93.07,,,Data collection - Confirmed exceptional weather – Remaining spills not above SOAF threshold,,"Stage 1a: Confirmed ""exceptional weather"" issue",6NW800286,NZ2300030510,54.669144,-1.6449049
Northumbrian Water,BELL BURN WOOD CSO WV042,BELL BURN WOOD CSO WV042,243/E/0097,6NW800287,,SO on sewer network,NZ2252131682,GB103024077464,Wear from Gaunless to Browney,BELL BURN,,,Not Applicable,Commissioned in 2016 - full year data expected,12.25,10,7.69,7 (installed 2016),99.96,,,,,,6NW800287,NZ2252131682,54.679698,-1.6522417
Northumbrian Water,WEAR VIEW B CSO,WEAR VIEW B CSO,243/0921,6NW800288,,SO on sewer network,NZ2208734118,GB103024077464,Wear from Gaunless to Browney,"THE STRAIT, CULVERTED WATERCRS",,,Not Applicable,Commissioned in 2016 - full year data expected,3.00,2,0.98,7 (installed 2016),89.73,Comms failure / issue,Resolved - Jul,,,,6NW800288,NZ2208734118,54.701608,-1.658789
Northumbrian Water,HALL FARM CSO (SE037),HALL FARM CSO (SE037),243/0993,6NW800289,,SO on sewer network,NZ2234334492,GB103024077464,Wear from Gaunless to Browney,WEAR TRIBUTARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,11.50,14,11.46,10+ (installed pre-2013),99.97,,,,,,6NW800289,NZ2234334492,54.704958,-1.6547881
Northumbrian Water,SCOUT HOUSE FARM 1 CSO,SCOUT HOUSE FARM 1 CSO,244/0998,6NW800290,,SO on sewer network,NZ2273042050,GB103024077280,Deerness from Hedleyhope Burn to Browney,RIVER DEERNESS,,,Not Applicable,Commissioned pre-2016 - full year data expected,305.50,34,23.10,10+ (installed pre-2013),99.83,,,,,,6NW800290,NZ2273042050,54.77286,-1.6481949
Northumbrian Water,BEECHVILLE CSO,BEECHVILLE CSO,245/1083,6NW800291,,SO on sewer network,NZ2281349486,GB103024077560,Cong Burn from Source to Twizell Burn,CONG BURN,,,Not Applicable,Commissioned in 2017 - full year data expected,400.15,56,51.53,6 (installed 2017),69.01,Comms failure / issue,Resolved - Nov,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_INV driver - Stage 4: No cost beneficial solution,6NW800291,NZ2281349486,54.839678,-1.6463221
Northumbrian Water,BEAMISH CSO,BEAMISH CSO,EPRBB3395WB,6NW800292,,SO on sewer network,NZ2255253648,GB103023075670,Team from Source to Tyne,TRIBUTARY OF URPETH BURN,,,Not Applicable,Commissioned in 2018 - full year data expected,0.00,0,0.17,5 (installed 2018),95.48,,,,,,6NW800292,NZ2255253648,54.87709,-1.6500624
Northumbrian Water,NEWTON STREET CSO,NEWTON STREET CSO,235/1367,6NW800293,,SO on sewer network,NZ2294162719,GB510302310200,TYNE,TYNE,,,Not Applicable,Commissioned in 2019 - full year data expected,0.00,0,0.20,5 (installed 2018),100.00,,,,,,6NW800293,NZ2294162719,54.958585,-1.6432804
Northumbrian Water,AMELIA CLOSE CSO - C49/102,AMELIA CLOSE CSO - C49/102,235/1316,6NW800294,,SO on sewer network,NZ2207663278,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned in 2018 - full year data expected,16.92,26,19.50,6 (installed 2017),99.96,,,,,,6NW800294,NZ2207663278,54.963647,-1.6567453
Northumbrian Water,JUBILEE ROAD CSO,JUBILEE ROAD CSO,253/1109,6NW800295,,SO on sewer network,NZ2381625646,GB103025072400,Woodham Burn from Source to Rushyford beck,TRIB OF RIVER SKERNE,,,Not Applicable,Commissioned in 2017 - full year data expected,29.75,12,18.45,6 (installed 2017),27.59,Comms failure / issue,Resolved - Sep,,,,6NW800295,NZ2381625646,54.625396,-1.6326472
Northumbrian Water,CHARLAW TERRACE CSO,CHARLAW TERRACE CSO,245/1071,6NW800296,,SO on sewer network,NZ2358647845,GB103024077623,South Burn to confluence with Wear,CULVERTED WATERC' TO BLACK BUR,,,Not Applicable,Commissioned in 2017 - full year data expected,0.00,0,12.08,6 (installed 2017),11.23,Comms failure / issue,N/A - Ongoing investigation,,,,6NW800296,NZ2358647845,54.824896,-1.6344197
Northumbrian Water,STAITHES ROAD CSO,STAITHES ROAD CSO,235/1253,6NW800297,,SO on sewer network,NZ2325962470,GB510302310200,TYNE,RIVER TEAM,,,Not Applicable,Commissioned in 2019 - full year data expected,435.37,63,53.81,5 (installed 2018),99.97,,,Performance - Infiltration,N/A - Ongoing investigation,,6NW800297,NZ2325962470,54.956333,-1.6383347
Northumbrian Water,CSO ON WHICKHAM AND GATESHEAD SEWER,CSO ON WHICKHAM AND GATESHEAD SEWER,235/1252,6NW800298,,SO on sewer network,NZ2340862006,GB510302310200,TYNE,TEAM,,,Not Applicable,Commissioned in 2018 - full year data expected,442.66,74,64.18,6 (installed 2017),99.99,,,Performance - Infiltration,N/A - Ongoing investigation,,6NW800298,NZ2340862006,54.952157,-1.6360457
Northumbrian Water,CSO AT TEAM STREET,CSO AT TEAM STREET,235/1250,6NW800299,,SO on sewer network,NZ2350062335,GB510302310200,TYNE,RIVER TEAM (ESTUARY),,,Not Applicable,Commissioned in 2018 - full year data expected,416.54,31,26.20,6 (installed 2017),99.89,,,,,,6NW800299,NZ2350062335,54.955109,-1.6345825
Northumbrian Water,CLUMBER STREET CSO,CLUMBER STREET CSO,235/1318,6NW800301,,SO on sewer network,NZ2322062910,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned in 2019 - full year data expected,0.00,0,0.00,4 (installed 2019),99.73,,,,,,6NW800301,NZ2322062910,54.960289,-1.6389082
Northumbrian Water,KENTON ROAD/ROCKERBY DRIVE CSO,KENTON ROAD/ROCKERBY DRIVE CSO,235/1549,6NW800302,,SO on sewer network,"NZ2421969512, NZ2425369532, NZ2425769535",GB103023075780,Ouse Burn from Source to Tyne,OUSE BURN,,,Not Applicable,Commissioned in 2021 - full year data expected,0.00,0,0.39,2 (installed 2021),99.99,,,,,,6NW800302,NZ2421969512,55.019567,-1.6227517
Northumbrian Water,CROSS LANE CSO CH8,CROSS LANE CSO CH8,245/1283,6NW800303,,SO on sewer network,NZ2445747784,GB103024077623,South Burn to confluence with Wear,BLACK BURN RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.50,1,1.29,10+ (installed pre-2013),92.98,,,,,,6NW800303,NZ2445747784,54.824306,-1.6208685
Northumbrian Water,STATION LANE CSO,STATION LANE CSO,245/1313,6NW800304,,SO on sewer network,NZ2536052630,GB103024077600,Cong Burn from Twizell Burn to Wear,"CHESTER BURN, TRIBUTARY OF",,,Not Applicable,Commissioned in 2019 - full year data expected,4.50,8,7.20,4 (installed 2019),99.98,,,,,,6NW800304,NZ2536052630,54.867808,-1.6063909
Northumbrian Water,TEAMS CSO JOHNSON STREET E17-105,TEAMS CSO JOHNSON STREET E17-105,EPRBB3893EZ,6NW800305M2,,SO on sewer network,NZ2417362806,8,River Tyne,RIVER TYNE,,,Not Applicable,Commissioned in 2022 - full year data expected,337.05,75,67.05,2 (installed 2021),99.99,,,Performance - Infiltration,N/A - Ongoing investigation,,6NW800305M2,NZ2417362806,54.959309,-1.6240344
Northumbrian Water,TEAMS CSO JOHNSON STREET E17-105,TEAMS CSO JOHNSON STREET E17-105,EPRBB3893EZ,6NW800305M5,,SO on sewer network,NZ2417362806,8,River Tyne,RIVER TYNE,,,Not Applicable,Commissioned in 2020 - full year data expected,0.00,0,37.97,4 (installed 2019),88.30,Comms failure / issue,Resolved - Dec,,,,6NW800305M5,NZ2417362806,54.959309,-1.6240344
Northumbrian Water,ROSE STREET CSO,ROSE STREET CSO,235/1917,6NW800307,,SO on sewer network,NZ2427162857,GB510302310200,TYNE,RIVER TYNE,,,Not Applicable,Commissioned in 2018 - full year data expected,225.94,51,31.34,6 (installed 2017),100.00,,,,,,6NW800307,NZ2427162857,54.959763,-1.6224998
Northumbrian Water,RIVERSDALE ROAD CSO,RIVERSDALE ROAD CSO,235/1365,6NW800309,,SO on sewer network,NZ2466763084,GB510302310200,TYNE,RIVER TYNE,,,Not Applicable,Commissioned in 2018 - full year data expected,3.10,12,6.82,5 (installed 2018),99.95,,,,,,6NW800309,NZ2466763084,54.961783,-1.6162963
